Store,Dept,Week,Month,Quarter,Year,IsHoliday,Type_enc,Size,Temperature,Fuel_Price,CPI,Unemployment,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,MarkDown_Total,lag_1,lag_4,lag_8,lag_52,rolling_mean_4,rolling_mean_12,rolling_std_4,Date,Type,Actual_Sales
41,31,-134.21419,-27.915857,-5.60402,-1.9177469,0,-1.5143645,6.7320895,-4.8575215,5.2805767,-10.067875,20.6841,-8.680828,14.670845,-16.782614,-10.711912,0.41905126,1.1979785,-9545.966,-1477.0342,5.7412257,-1214.8733,-1768.7296,-279.96127,58.486893,2011-09-30,A,1351.15
22,35,922.45294,28.784761,9.621253,4.6674066,0,4.3535647,3.6782258,8.981652,13.611979,-16.725643,-12.428571,-4.8811636,22.46777,-12.412339,-4.0951,6.512706,-1.8343788,-9012.552,-1666.3354,90.74762,-88.10175,-1770.9867,-294.3902,-78.60181,2010-12-17,B,3934.0
13,71,37.48167,20.778124,6.6809087,-0.87182236,0,-1.8235667,12.023869,11.172216,6.6483,24.362871,39.884884,33.171978,-53.71734,36.285423,3.6035228,3.7097244,0.9183867,-5262.0264,-724.0755,-32.19371,-1672.6915,-1219.8171,-268.94955,40.77783,2012-10-26,A,6411.58
36,20,-6.1864805,-2.7095523,-0.3279938,1.0990196,0,-0.16661921,-22.998035,-3.389361,3.581274,-10.093497,-16.923862,-10.84754,17.138348,-16.736607,-13.795255,-4.6752033,-2.311806,-11278.487,-1730.1019,-40.545006,-59.48867,-2052.2769,-616.36115,34.350414,2010-03-26,A,77.0
4,81,285.81335,105.31187,2.1158915,-2.764326,0,-0.436369,10.258398,1.6160091,-15.330103,135.40677,152.33653,250.70975,278.61508,200.88602,558.01416,42.723892,13.1308365,12064.365,1861.866,-148.59776,1340.406,772.69464,-271.41678,99.66243,2012-04-06,A,35928.79
4,32,-81.30771,-7.254375,-6.900517,0.8077864,0,-1.9011215,4.362737,0.26229772,-10.620277,83.4865,-6.0610633,-6.6366773,12.831537,-18.062286,-8.2520685,0.49627197,-1.8479416,-4548.159,-716.70496,8.466734,-112.18092,-1232.6168,-211.85681,40.481777,2010-08-20,A,8529.01
42,90,-133.57718,0.5157809,2.3876734,10.975449,0,-0.7479321,6.91195,-4.8946924,-0.58441967,86.15972,6.7162037,-4.330663,42.978004,-57.524105,-27.718037,-110.86303,-3.976614,25628.195,970.43274,463.45114,55.80313,1839.9556,1348.932,-95.993645,2010-05-07,C,55239.78
28,87,3.4158149,21.549404,22.991446,2.3281393,0,-2.0088947,13.102231,-0.32997528,17.166782,51.15415,-20.93196,-5.248986,14.948395,-16.581255,-4.2326035,9.083,-2.802127,-1967.9403,-157.21161,-5.8138223,-175.34412,-1003.4131,-461.82968,-12.504685,2010-10-15,A,12912.78
39,93,100.104416,57.227753,-1.82181,-5.932071,0,1.2237881,23.230888,69.42642,-6.332327,13.643757,-28.182432,-15.564606,36.770912,-73.27807,-30.736519,2.0629518,-15.290478,20977.943,-293.68774,-149.52426,703.9127,416.17526,806.52985,28.633043,2011-06-10,A,37353.33
21,87,-115.613625,-3.992837,-6.7995334,1.2791348,0,3.6718032,1.6800889,1.8198681,-16.276838,-13.511877,-11.415591,-6.214263,13.876824,-14.717,-8.224909,-0.47512728,-1.9399772,-6235.649,-905.6326,4.8046365,-115.6583,-1337.0851,-450.39963,43.012333,2010-07-30,B,9034.44
